,0,1,2,3,4,5,6,7
0,work_at_computer begin 2009-02-09 17:01:21.787339 r2,groom begin 2009-02-09 17:21:48.456279 r2,groom end 2009-02-09 17:40:30.861749 r2,work_at_computer end 2009-02-09 18:32:38.092207 r2,,,,
1,sleep begin 2009-02-10 00:26:54.552649 r2,bed_to_toilet begin 2009-02-10 07:54:46.454519 r2,bed_to_toilet end 2009-02-10 07:56:52.040404 r2,sleep end 2009-02-10 09:21:46.180769 r2,,,,
2,prepare_lunch begin 2009-02-10 13:05:24.034887 r2,watch_tv begin 2009-02-10 17:03:57.048589 r2,prepare_lunch end 2009-02-10 17:42:23.033889 r2,prepare_dinner begin 2009-02-10 18:09:13.411459 r2,prepare_dinner end 2009-02-10 18:45:55.006678 r2,watch_tv end 2009-02-10 19:00:29.036859 r2,,
3,prepare_lunch begin 2009-02-11 15:35:35.433549 r2,watch_tv begin 2009-02-11 15:41:22.000447 r2,prepare_lunch end 2009-02-11 16:14:02.000023 r2,watch_tv end 2009-02-11 16:14:04.053778 r2,,,,
4,prepare_dinner begin 2009-02-12 19:51:18.037859 r2,watch_tv begin 2009-02-12 20:28:47.007079 r2,watch_tv end 2009-02-12 21:12:06.130579 r2,prepare_dinner end 2009-02-12 21:15:23.079571 r2,,,,
5,prepare_dinner begin 2009-02-13 17:08:47.069247 r2,watch_tv begin 2009-02-13 17:25:04.456249 r2,watch_tv end 2009-02-13 19:18:38.082321 r2,prepare_dinner end 2009-02-13 21:49:07.320489 r2,,,,
6,prepare_dinner begin 2009-02-17 17:18:01.174979 r2,watch_tv begin 2009-02-17 17:18:02.063436 r2,prepare_dinner end 2009-02-17 18:38:17.633869 r2,work_at_computer begin 2009-02-17 18:46:57.953109 r2,watch_tv end 2009-02-17 19:11:48.003376 r2,work_at_computer end 2009-02-17 21:33:06.700279 r2,,
7,sleep begin 2009-02-17 21:34:05.090948 r2,bed_to_toilet begin 2009-02-18 06:59:19.479099 r2,bed_to_toilet end 2009-02-18 07:00:47.920109 r2,sleep end 2009-02-18 07:43:00.096427 r2,,,,
8,watch_tv begin 2009-02-18 17:16:55.026283 r2,prepare_dinner begin 2009-02-18 17:23:41.281569 r2,prepare_dinner end 2009-02-18 20:29:22.631589 r2,work_at_computer begin 2009-02-18 20:57:48.694999 r2,work_at_computer end 2009-02-18 21:13:20.915129 r2,watch_tv end 2009-02-18 22:45:56.062521 r2,,
9,sleep begin 2009-02-18 23:54:45.591619 r2,bed_to_toilet begin 2009-02-19 07:15:00.029046 r2,sleep end 2009-02-19 07:15:00.152179 r2,bed_to_toilet end 2009-02-19 07:16:56.072651 r2,,,,
10,work_at_computer begin 2009-02-23 08:35:27.831979 r2,groom begin 2009-02-23 09:23:03.010136 r2,groom end 2009-02-23 10:08:49.485519 r2,work_at_computer end 2009-02-23 10:50:32.049882 r2,,,,
11,prepare_dinner begin 2009-02-24 16:34:02.671279 r2,watch_tv begin 2009-02-24 16:35:20.041229 r2,prepare_dinner end 2009-02-24 16:49:14.212209 r2,watch_tv end 2009-02-24 20:38:15.667249 r2,,,,
12,work_at_computer begin 2009-02-25 08:53:09.025146 r2,groom begin 2009-02-25 09:34:38.090718 r2,groom end 2009-02-25 09:39:12.146559 r2,work_at_computer end 2009-02-25 09:59:54.218559 r2,,,,
13,prepare_dinner begin 2009-02-25 18:02:42.036893 r2,watch_tv begin 2009-02-25 18:17:33.326009 r2,watch_tv end 2009-02-25 19:44:31.000062 r2,prepare_dinner end 2009-02-25 19:45:15.427459 r2,,,,
14,watch_tv begin 2009-02-26 12:02:39.313719 r2,prepare_lunch begin 2009-02-26 12:14:13.052951 r2,prepare_lunch end 2009-02-26 12:52:47.059061 r2,watch_tv end 2009-02-26 13:02:24.083604 r2,,,,
15,work_at_computer begin 2009-02-26 17:10:32.011487 r2,groom begin 2009-02-26 17:18:44.064469 r2,groom end 2009-02-26 17:45:51.061747 r2,prepare_dinner begin 2009-02-26 19:03:53.015632 r2,prepare_dinner end 2009-02-26 19:11:44.934099 r2,work_at_computer end 2009-02-26 20:35:01.830009 r2,,
16,sleep begin 2009-02-26 22:10:05.938349 r2,bed_to_toilet begin 2009-02-27 06:30:36.068597 r2,bed_to_toilet end 2009-02-27 06:32:15.254909 r2,sleep end 2009-02-27 07:48:15.392539 r2,,,,
17,bed_to_toilet begin 2009-03-03 07:21:10.790649 r2,groom begin 2009-03-03 07:21:10.790649 r2,bed_to_toilet end 2009-03-03 07:23:14.071369 r2,groom end 2009-03-03 08:00:52.008009 r2,,,,
18,work_at_computer begin 2009-03-04 09:07:41.696759 r2,groom begin 2009-03-04 09:41:29.987169 r2,groom end 2009-03-04 10:15:44.007534 r2,work_at_computer end 2009-03-04 10:18:10.096228 r2,,,,
19,watch_tv begin 2009-03-04 10:37:25.022476 r2,breakfast begin 2009-03-04 10:37:34.038397 r2,watch_tv end 2009-03-04 11:39:54.076809 r2,breakfast end 2009-03-04 11:45:20.053673 r2,,,,
20,bed_to_toilet begin 2009-03-05 07:34:16.026707 r2,breakfast begin 2009-03-05 07:34:23.052621 r2,bed_to_toilet end 2009-03-05 07:39:21.010503 r2,breakfast end 2009-03-05 07:59:36.037396 r2,,,,
21,prepare_dinner begin 2009-03-05 17:35:49.024457 r2,work_at_computer begin 2009-03-05 18:18:24.097003 r2,prepare_dinner end 2009-03-05 18:24:14.025338 r2,work_at_computer end 2009-03-05 18:37:31.573899 r2,,,,
