,0,1,2,3,4,5,6,7
0,"['bed_to_toilet', 'begin', '2009-02-06 07:33:49.097174']","['groom', 'begin', '2009-02-06 07:34:24.770119']","['bed_to_toilet', 'end', '2009-02-06 07:53:46.392519']","['groom', 'end', '2009-02-06 07:54:01.092629']",,,,
1,,,,,,,,
2,"['groom', 'begin', '2009-02-09 07:49:25.491709']","['bed_to_toilet', 'begin', '2009-02-09 07:49:25.491709']","['bed_to_toilet', 'end', '2009-02-09 07:52:27.222409']","['groom', 'end', '2009-02-09 08:09:04.647429']",,,,
3,"['sleep', 'begin', '2009-02-16 22:41:07.074547']","['bed_to_toilet', 'begin', '2009-02-16 22:58:02.099424']","['bed_to_toilet', 'end', '2009-02-16 23:00:52.623939']","['sleep', 'end', '2009-02-17 08:34:56.004499']",,,,
4,"['bed_to_toilet', 'begin', '2009-02-20 05:28:16.131059']","['bed_to_toilet', 'end', '2009-02-20 05:43:40.147259']","['groom', 'begin', '2009-02-20 05:44:35.026936']","['groom', 'end', '2009-02-20 06:02:00.003709']",,,,
5,"['sleep', 'begin', '2009-03-02 20:37:55.038661']","['bed_to_toilet', 'begin', '2009-03-02 22:18:03.486279']","['bed_to_toilet', 'end', '2009-03-02 22:20:20.017629']","['sleep', 'end', '2009-03-03 07:08:42.073494']",,,,
6,,,,,,,,
7,,,,,,,,
8,"['sleep', 'begin', '2009-03-10 22:21:48.600029']","['sleep', 'end', '2009-03-11 07:46:43.057989']",,,,,,
9,,,,,,,,
10,"['groom', 'begin', '2009-03-23 21:31:02.051181']","['groom', 'end', '2009-03-23 21:41:18.045353']","['sleep', 'begin', '2009-03-23 21:42:35.925209']","['sleep', 'end', '2009-03-24 08:19:43.090569']",,,,
11,"['groom', 'begin', '2009-03-25 12:32:29.212579']","['groom', 'end', '2009-03-25 12:43:04.761709']",,,,,,
