,0,1
0,bed_to_toilet begin 2009-02-02 07:44:12.597919 r2,breakfast begin 2009-02-02 10:19:25.051405 r2
1,breakfast begin 2009-02-02 10:19:25.051405 r2,groom begin 2009-02-02 10:51:07.009342 r2
2,groom begin 2009-02-02 10:51:07.009342 r2,watch_tv begin 2009-02-02 11:41:34.140719 r2
3,watch_tv begin 2009-02-02 11:41:34.140719 r2,work_at_computer begin 2009-02-02 15:23:23.042079 r2
4,work_at_computer begin 2009-02-02 15:23:23.042079 r2,prepare_dinner begin 2009-02-02 17:47:19.048615 r2
5,prepare_dinner begin 2009-02-02 17:47:19.048615 r2,groom begin 2009-02-02 22:24:18.955319 r2
6,groom begin 2009-02-02 22:24:18.955319 r2,sleep begin 2009-02-02 22:29:18.064348 r2
7,sleep begin 2009-02-02 22:29:18.064348 r2,bed_to_toilet begin 2009-02-03 06:12:13.063134 r2
8,bed_to_toilet begin 2009-02-03 06:12:13.063134 r2,groom begin 2009-02-03 06:32:54.238749 r2
9,groom begin 2009-02-03 06:32:54.238749 r2,prepare_lunch begin 2009-02-03 12:18:56.804229 r2
10,prepare_lunch begin 2009-02-03 12:18:56.804229 r2,prepare_dinner begin 2009-02-03 17:24:38.718909 r2
11,prepare_dinner begin 2009-02-03 17:24:38.718909 r2,watch_tv begin 2009-02-03 18:01:23.023129 r2
12,watch_tv begin 2009-02-03 18:01:23.023129 r2,sleep begin 2009-02-03 22:37:34.073232 r2
13,sleep begin 2009-02-03 22:37:34.073232 r2,bed_to_toilet begin 2009-02-04 06:12:34.017284 r2
14,bed_to_toilet begin 2009-02-04 06:12:34.017284 r2,groom begin 2009-02-04 06:17:29.070036 r2
15,groom begin 2009-02-04 06:17:29.070036 r2,breakfast begin 2009-02-04 07:01:27.414659 r2
16,breakfast begin 2009-02-04 07:01:27.414659 r2,prepare_lunch begin 2009-02-04 10:31:26.891599 r2
17,prepare_lunch begin 2009-02-04 10:31:26.891599 r2,prepare_lunch begin 2009-02-04 10:52:26.436909 r2
18,prepare_lunch begin 2009-02-04 10:52:26.436909 r2,watch_tv begin 2009-02-04 17:15:28.056394 r2
19,watch_tv begin 2009-02-04 17:15:28.056394 r2,work_at_computer begin 2009-02-04 20:17:57.734649 r2
20,work_at_computer begin 2009-02-04 20:17:57.734649 r2,sleep begin 2009-02-04 21:49:00.994299 r2
21,sleep begin 2009-02-04 21:49:00.994299 r2,bed_to_toilet begin 2009-02-05 08:01:11.079641 r2
22,bed_to_toilet begin 2009-02-05 08:01:11.079641 r2,breakfast begin 2009-02-05 08:04:46.217299 r2
23,breakfast begin 2009-02-05 08:04:46.217299 r2,watch_tv begin 2009-02-05 08:26:11.740499 r2
24,watch_tv begin 2009-02-05 08:26:11.740499 r2,groom begin 2009-02-05 10:08:09.274399 r2
25,groom begin 2009-02-05 10:08:09.274399 r2,prepare_lunch begin 2009-02-05 12:12:53.490659 r2
26,prepare_lunch begin 2009-02-05 12:12:53.490659 r2,prepare_dinner begin 2009-02-05 18:42:13.029319 r2
27,prepare_dinner begin 2009-02-05 18:42:13.029319 r2,work_at_computer begin 2009-02-05 20:03:19.064879 r2
